"order_amount","discount_category","total_revenue"
"436.08","Heavy_Discounted_product","312.38"
"2415.29","Heavy_Discounted_product","2224.03"
"2385.82","Heavy_Discounted_product","2276.82"
"1965.06","Heavy_Discounted_product","1785.07"
"205.05","Heavy_Discounted_product","98.51"
"305.29","Low_Discounted_product","256.04"
"650.62","Low_Discounted_product","614.40"
"447.86","Heavy_Discounted_product","323.52"
"2399.24","Low_Discounted_product","2358.85"
"1472.42","Heavy_Discounted_product","1342.58"
"599.40","Heavy_Discounted_product","354.83"
"2230.20","Heavy_Discounted_product","2078.97"
"829.27","Heavy_Discounted_product","540.19"
"1585.81","Heavy_Discounted_product","1319.88"
"1837.31","Heavy_Discounted_product","1556.66"
"1779.21","Heavy_Discounted_product","1502.85"
"941.48","Low_Discounted_product","906.86"
"2368.15","Heavy_Discounted_product","2155.11"
"444.88","Heavy_Discounted_product","330.62"
"2462.12","Heavy_Discounted_product","2257.10"
"1933.27","Low_Discounted_product","1923.58"
"2189.14","Heavy_Discounted_product","1966.42"
"1793.75","Low_Discounted_product","1779.66"
"2421.42","Low_Discounted_product","2405.28"
"2296.42","Heavy_Discounted_product","2085.03"
"876.61","Low_Discounted_product","823.38"
"474.51","Low_Discounted_product","462.32"
"1543.17","Low_Discounted_product","1466.67"
"553.52","Low_Discounted_product","456.73"
"1023.60","Heavy_Discounted_product","788.39"
"356.81","Heavy_Discounted_product","205.27"
"1003.63","Heavy_Discounted_product","738.61"
"2385.71","Heavy_Discounted_product","2200.23"
"1738.56","Heavy_Discounted_product","1604.86"
"2306.64","Heavy_Discounted_product","2023.14"
"256.82","Heavy_Discounted_product","101.76"
"300.86","Heavy_Discounted_product","31.38"
"585.01","Heavy_Discounted_product","298.13"
"684.80","Heavy_Discounted_product","495.95"
"2106.12","Heavy_Discounted_product","1842.53"
"1256.22","Low_Discounted_product","1156.71"
"1483.59","Heavy_Discounted_product","1311.10"
"1649.50","Heavy_Discounted_product","1519.59"
"213.57","Heavy_Discounted_product","-2.52"
"1022.71","Heavy_Discounted_product","871.86"
"1960.13","Heavy_Discounted_product","1828.83"
"705.69","Heavy_Discounted_product","481.66"
"1757.76","Heavy_Discounted_product","1483.51"
"483.44","Low_Discounted_product","481.93"
"683.12","Heavy_Discounted_product","460.69"
"527.65","Low_Discounted_product","472.45"
"2160.18","Heavy_Discounted_product","1904.76"
"868.50","Low_Discounted_product","848.29"
"1021.42","Heavy_Discounted_product","820.03"
"2270.27","Low_Discounted_product","2174.93"
"1794.95","Low_Discounted_product","1749.23"
"211.11","Low_Discounted_product","137.26"
"1763.03","Low_Discounted_product","1663.56"
"1320.03","Low_Discounted_product","1287.38"
"805.44","Heavy_Discounted_product","539.54"
"271.75","Heavy_Discounted_product","97.18"
"1449.98","Heavy_Discounted_product","1150.36"
"2250.31","Heavy_Discounted_product","2073.43"
"408.27","Heavy_Discounted_product","299.11"
"1941.57","Low_Discounted_product","1899.46"
"1892.62","Heavy_Discounted_product","1747.57"
"344.58","Heavy_Discounted_product","233.75"
"1280.25","Heavy_Discounted_product","1143.86"
"1818.59","Heavy_Discounted_product","1662.18"
"599.85","Heavy_Discounted_product","403.75"
"2437.15","Low_Discounted_product","2370.28"
"2240.50","Low_Discounted_product","2238.52"
"1383.44","Low_Discounted_product","1299.20"
"1849.80","Low_Discounted_product","1814.30"
"1307.49","Heavy_Discounted_product","1163.85"
"760.44","Low_Discounted_product","722.07"
"2248.83","Low_Discounted_product","2204.77"
"1578.52","Heavy_Discounted_product","1409.44"
"1595.01","Heavy_Discounted_product","1453.59"
"528.24","Heavy_Discounted_product","353.45"
"2321.41","Heavy_Discounted_product","2142.45"
"449.71","Low_Discounted_product","389.01"
"608.07","Heavy_Discounted_product","337.59"
"1309.15","Low_Discounted_product","1270.05"
"1400.70","Heavy_Discounted_product","1289.59"
"2015.98","Heavy_Discounted_product","1901.61"
"1297.42","Low_Discounted_product","1227.67"
"792.95","Low_Discounted_product","791.31"
"216.55","Heavy_Discounted_product","20.19"
"1179.96","Heavy_Discounted_product","1004.35"
"1607.33","Heavy_Discounted_product","1309.79"
"1309.68","Heavy_Discounted_product","1198.62"
"992.02","Heavy_Discounted_product","780.37"
"430.64","Heavy_Discounted_product","278.14"
"569.70","Heavy_Discounted_product","280.33"
"1201.37","Low_Discounted_product","1182.15"
"1866.34","Heavy_Discounted_product","1587.13"
"332.16","Heavy_Discounted_product","100.08"
"2156.31","Heavy_Discounted_product","1877.08"
"1374.26","Heavy_Discounted_product","1164.73"
"2443.99","Low_Discounted_product","2417.94"
"1132.54","Low_Discounted_product","1072.45"
"1870.12","Heavy_Discounted_product","1702.39"
"1594.64","Low_Discounted_product","1536.28"
"1136.41","Low_Discounted_product","1104.47"
"2046.77","Heavy_Discounted_product","1759.76"
"2421.93","Heavy_Discounted_product","2252.98"
"2262.00","Heavy_Discounted_product","2003.39"
"1657.42","Heavy_Discounted_product","1359.16"
"1432.00","Heavy_Discounted_product","1221.75"
"1749.51","Heavy_Discounted_product","1503.19"
"1013.14","Heavy_Discounted_product","744.85"
"1895.36","Low_Discounted_product","1824.90"
"2120.36","Heavy_Discounted_product","1869.46"
"1754.37","Heavy_Discounted_product","1555.34"
"1627.54","Heavy_Discounted_product","1479.84"
"844.61","Low_Discounted_product","777.98"
"1300.14","Heavy_Discounted_product","1137.91"
"1251.55","Low_Discounted_product","1215.44"
"227.19","Low_Discounted_product","163.96"
"2182.24","Low_Discounted_product","2126.09"
"989.12","Low_Discounted_product","933.95"
"1039.68","Heavy_Discounted_product","919.50"
"1777.83","Heavy_Discounted_product","1533.57"
"650.95","Heavy_Discounted_product","410.94"
"1349.08","Heavy_Discounted_product","1050.41"
"777.24","Heavy_Discounted_product","519.69"
"338.08","Heavy_Discounted_product","93.93"
"797.47","Heavy_Discounted_product","689.38"
"478.85","Heavy_Discounted_product","218.64"
"601.44","Heavy_Discounted_product","367.35"
"1981.91","Heavy_Discounted_product","1847.83"
"1652.94","Low_Discounted_product","1609.49"
"1514.77","Heavy_Discounted_product","1260.10"
"921.01","Heavy_Discounted_product","725.11"
"1920.16","Heavy_Discounted_product","1763.88"
"487.59","Low_Discounted_product","417.20"
"436.92","Low_Discounted_product","417.78"
"1405.16","Heavy_Discounted_product","1106.36"
"1706.12","Heavy_Discounted_product","1440.48"
"1219.27","Low_Discounted_product","1181.35"
"2178.85","Low_Discounted_product","2081.29"
"1223.14","Heavy_Discounted_product","932.28"
"1651.41","Heavy_Discounted_product","1460.65"
"1427.70","Heavy_Discounted_product","1155.02"
"908.10","Heavy_Discounted_product","784.44"
"2075.37","Heavy_Discounted_product","1820.99"
"1781.87","Heavy_Discounted_product","1634.29"
"1573.11","Heavy_Discounted_product","1334.08"
"1205.34","Low_Discounted_product","1130.37"
"1171.15","Low_Discounted_product","1099.28"
"2060.26","Heavy_Discounted_product","1936.39"
"1664.85","Heavy_Discounted_product","1479.53"
"549.94","Heavy_Discounted_product","259.03"
"487.59","Heavy_Discounted_product","356.07"
"1335.23","Heavy_Discounted_product","1232.66"
"959.57","Heavy_Discounted_product","706.51"
"1449.34","Low_Discounted_product","1394.86"
"1085.04","Heavy_Discounted_product","792.55"
"1398.62","Heavy_Discounted_product","1103.99"
"564.81","Heavy_Discounted_product","346.34"
"1668.60","Low_Discounted_product","1608.98"
"1198.57","Low_Discounted_product","1194.05"
"220.54","Low_Discounted_product","207.94"
"562.71","Low_Discounted_product","535.29"
"1813.05","Heavy_Discounted_product","1575.61"
"2013.69","Heavy_Discounted_product","1786.68"
"1023.79","Low_Discounted_product","983.37"
"877.84","Heavy_Discounted_product","668.73"
"944.47","Heavy_Discounted_product","803.95"
"1233.58","Heavy_Discounted_product","987.75"
"1363.70","Heavy_Discounted_product","1143.60"
"1858.31","Heavy_Discounted_product","1660.82"
"1961.19","Low_Discounted_product","1914.95"
"454.07","Heavy_Discounted_product","297.11"
"664.78","Heavy_Discounted_product","519.17"
"1713.22","Heavy_Discounted_product","1555.47"
"1851.04","Low_Discounted_product","1847.11"
"339.61","Heavy_Discounted_product","172.20"
"811.38","Low_Discounted_product","799.18"
"423.37","Heavy_Discounted_product","205.82"
"1710.82","Heavy_Discounted_product","1539.81"
"1962.45","Heavy_Discounted_product","1789.48"
"1464.92","Heavy_Discounted_product","1313.51"
"2275.72","Heavy_Discounted_product","2110.70"
"2100.16","Low_Discounted_product","2003.12"
"1961.13","Heavy_Discounted_product","1683.29"
"200.45","Low_Discounted_product","190.05"
"215.11","Heavy_Discounted_product","-80.21"
"2313.96","Heavy_Discounted_product","2160.58"
"1258.85","Low_Discounted_product","1212.02"
"789.36","Low_Discounted_product","699.27"
"1864.24","Heavy_Discounted_product","1626.37"
"2084.89","Low_Discounted_product","2056.28"
"1994.28","Heavy_Discounted_product","1717.72"
"2200.51","Low_Discounted_product","2132.49"
"294.72","Heavy_Discounted_product","132.74"
"552.35","Heavy_Discounted_product","350.26"
"407.19","Heavy_Discounted_product","277.61"
"1294.47","Heavy_Discounted_product","1070.88"
"1354.19","Heavy_Discounted_product","1122.04"
"1322.08","Heavy_Discounted_product","1126.41"
"766.37","Low_Discounted_product","744.88"
"458.82","Heavy_Discounted_product","334.75"
"1565.92","Low_Discounted_product","1558.66"
"1633.32","Heavy_Discounted_product","1501.18"
"1942.79","Heavy_Discounted_product","1686.96"
"2198.13","Heavy_Discounted_product","1952.09"
"1235.14","Low_Discounted_product","1228.32"
"1403.51","Low_Discounted_product","1325.91"
"1066.20","Heavy_Discounted_product","794.39"
"853.23","Heavy_Discounted_product","616.47"
"353.17","Heavy_Discounted_product","155.06"
"731.69","Heavy_Discounted_product","617.48"
"402.45","Low_Discounted_product","342.79"
"769.00","Heavy_Discounted_product","610.18"
"242.26","Heavy_Discounted_product","36.97"
"2067.35","Heavy_Discounted_product","1879.61"
"548.93","Heavy_Discounted_product","279.78"
"2207.21","Heavy_Discounted_product","2001.25"
"2432.24","Heavy_Discounted_product","2159.32"
"1700.69","Heavy_Discounted_product","1526.38"
"2291.99","Heavy_Discounted_product","2162.97"
"1481.88","Heavy_Discounted_product","1197.30"
"1960.50","Heavy_Discounted_product","1696.46"
"2346.48","Low_Discounted_product","2264.34"
"1953.63","Heavy_Discounted_product","1770.04"
"734.02","Heavy_Discounted_product","527.81"
"1355.35","Heavy_Discounted_product","1173.94"
"516.28","Low_Discounted_product","458.30"
"711.87","Heavy_Discounted_product","510.47"
"2194.40","Heavy_Discounted_product","2047.42"
"1985.29","Heavy_Discounted_product","1802.91"
"1565.75","Heavy_Discounted_product","1408.18"
"2102.12","Low_Discounted_product","2089.40"
"1482.71","Heavy_Discounted_product","1327.87"
"2234.11","Heavy_Discounted_product","2002.01"
"1610.21","Low_Discounted_product","1593.85"
"408.01","Heavy_Discounted_product","257.81"
"1104.05","Low_Discounted_product","1007.01"
"2229.86","Low_Discounted_product","2202.81"
"1824.32","Heavy_Discounted_product","1634.10"
"1607.77","Low_Discounted_product","1559.80"
"1500.63","Heavy_Discounted_product","1302.77"
"1165.04","Low_Discounted_product","1072.18"
"2266.65","Heavy_Discounted_product","1978.52"
"2167.45","Heavy_Discounted_product","2004.40"
"1716.78","Heavy_Discounted_product","1580.66"
"762.84","Heavy_Discounted_product","598.64"
"326.65","Heavy_Discounted_product","221.94"
"886.42","Heavy_Discounted_product","610.30"
"1745.81","Heavy_Discounted_product","1562.48"
"1028.43","Low_Discounted_product","1017.68"
"1944.42","Heavy_Discounted_product","1691.43"
"1797.62","Low_Discounted_product","1715.29"
"1607.72","Low_Discounted_product","1574.93"
"2347.95","Heavy_Discounted_product","2052.07"
"1408.40","Heavy_Discounted_product","1109.89"
"1395.32","Heavy_Discounted_product","1205.76"
"2452.29","Non_discounted_product","2451.82"
"2039.00","Heavy_Discounted_product","1739.30"
"2053.90","Low_Discounted_product","1990.20"
"890.65","Heavy_Discounted_product","725.65"
"1110.91","Heavy_Discounted_product","940.23"
"2321.24","Heavy_Discounted_product","2177.51"
"557.39","Heavy_Discounted_product","419.20"
"2120.74","Low_Discounted_product","2030.94"
"1528.01","Low_Discounted_product","1428.49"
"980.05","Heavy_Discounted_product","867.48"
"630.97","Low_Discounted_product","595.92"
"1151.90","Heavy_Discounted_product","1002.78"
"1407.73","Low_Discounted_product","1355.23"
"1363.79","Heavy_Discounted_product","1124.08"
"1884.61","Heavy_Discounted_product","1727.52"
"671.93","Low_Discounted_product","660.96"
"2344.38","Heavy_Discounted_product","2138.26"
"1397.33","Heavy_Discounted_product","1199.63"
"2251.91","Low_Discounted_product","2155.65"
"1977.41","Heavy_Discounted_product","1776.07"
"235.09","Heavy_Discounted_product","48.21"
"1463.54","Low_Discounted_product","1382.22"
"916.17","Heavy_Discounted_product","648.50"
"1282.69","Heavy_Discounted_product","1080.04"
"1101.41","Heavy_Discounted_product","890.01"
"1839.67","Heavy_Discounted_product","1638.41"
"413.71","Heavy_Discounted_product","173.00"
"1282.26","Heavy_Discounted_product","998.03"
"1809.11","Heavy_Discounted_product","1609.56"
"1293.27","Heavy_Discounted_product","1187.84"
"1521.76","Heavy_Discounted_product","1369.38"
"2022.59","Heavy_Discounted_product","1862.77"
"1460.28","Heavy_Discounted_product","1168.11"
"1191.64","Heavy_Discounted_product","897.58"
"598.10","Heavy_Discounted_product","397.22"
"1264.69","Heavy_Discounted_product","1098.16"
"1576.00","Heavy_Discounted_product","1370.35"
"408.23","Heavy_Discounted_product","163.12"
"1241.84","Low_Discounted_product","1154.39"
"889.39","Heavy_Discounted_product","651.09"
"218.67","Heavy_Discounted_product","-77.26"
"2272.47","Heavy_Discounted_product","1982.10"
"2191.06","Low_Discounted_product","2120.49"
"1077.60","Heavy_Discounted_product","914.06"
"1084.57","Heavy_Discounted_product","807.23"
"508.84","Low_Discounted_product","487.32"
"2442.44","Low_Discounted_product","2401.71"
"2339.72","Heavy_Discounted_product","2152.75"
"1084.84","Low_Discounted_product","1017.12"
"1837.90","Low_Discounted_product","1757.12"
"1506.74","Heavy_Discounted_product","1295.28"
"526.80","Heavy_Discounted_product","307.41"
"2246.81","Low_Discounted_product","2220.28"
"2035.63","Low_Discounted_product","1941.88"
"1244.28","Heavy_Discounted_product","972.46"
"865.18","Low_Discounted_product","854.58"
"1288.27","Low_Discounted_product","1237.55"
"1314.95","Low_Discounted_product","1276.90"
"846.24","Heavy_Discounted_product","588.88"
"1899.62","Heavy_Discounted_product","1701.87"
"1315.31","Heavy_Discounted_product","1075.50"
"2348.07","Low_Discounted_product","2301.82"
"1869.80","Low_Discounted_product","1819.62"
"1937.61","Low_Discounted_product","1902.81"
"1295.41","Heavy_Discounted_product","1010.93"
"1291.56","Low_Discounted_product","1248.02"
"1760.53","Heavy_Discounted_product","1472.00"
"2399.22","Heavy_Discounted_product","2269.68"
"787.29","Heavy_Discounted_product","612.04"
"1395.89","Heavy_Discounted_product","1192.57"
"2112.89","Low_Discounted_product","2109.30"
"1008.49","Heavy_Discounted_product","790.91"
"411.46","Heavy_Discounted_product","129.91"
"2169.81","Low_Discounted_product","2130.84"
"782.67","Heavy_Discounted_product","642.58"
"791.87","Heavy_Discounted_product","557.65"
"2490.70","Low_Discounted_product","2413.23"
"2452.67","Low_Discounted_product","2392.47"
"530.91","Heavy_Discounted_product","300.30"
"437.56","Low_Discounted_product","415.68"
"542.36","Heavy_Discounted_product","350.26"
"2280.62","Heavy_Discounted_product","2108.23"
"2141.31","Heavy_Discounted_product","1907.03"
"2394.56","Heavy_Discounted_product","2149.17"
"966.91","Low_Discounted_product","876.06"
"385.05","Heavy_Discounted_product","247.16"
"2425.28","Heavy_Discounted_product","2227.06"
"1318.96","Heavy_Discounted_product","1053.40"
"258.34","Heavy_Discounted_product","-40.58"
"1679.84","Heavy_Discounted_product","1529.93"
"976.75","Heavy_Discounted_product","760.45"
"1254.25","Heavy_Discounted_product","1050.83"
"284.82","Low_Discounted_product","242.34"
"1812.98","Low_Discounted_product","1773.82"
"1605.82","Heavy_Discounted_product","1355.21"
"2038.10","Low_Discounted_product","1971.93"
"945.74","Heavy_Discounted_product","652.98"
"1957.72","Heavy_Discounted_product","1779.79"
"1942.37","Low_Discounted_product","1891.95"
"2329.05","Low_Discounted_product","2316.84"
"385.66","Low_Discounted_product","383.49"
"1792.42","Low_Discounted_product","1730.57"
"2357.61","Heavy_Discounted_product","2174.45"
"1642.54","Heavy_Discounted_product","1407.77"
"641.38","Heavy_Discounted_product","345.40"
"1267.70","Heavy_Discounted_product","1079.76"
"2032.21","Heavy_Discounted_product","1826.64"
"324.26","Heavy_Discounted_product","215.00"
"2051.85","Heavy_Discounted_product","1824.33"
"563.50","Low_Discounted_product","554.78"
"1563.23","Low_Discounted_product","1465.44"
"723.90","Low_Discounted_product","652.76"
"1283.28","Heavy_Discounted_product","1137.96"
"609.54","Heavy_Discounted_product","497.49"
"665.09","Low_Discounted_product","626.93"
"2158.80","Heavy_Discounted_product","2021.23"
"560.61","Heavy_Discounted_product","322.24"
"1146.90","Heavy_Discounted_product","990.37"
"1879.04","Heavy_Discounted_product","1658.19"
"711.54","Heavy_Discounted_product","433.30"
"292.13","Heavy_Discounted_product","150.93"
"1302.32","Heavy_Discounted_product","1062.91"
"1484.52","Low_Discounted_product","1480.79"
"749.84","Heavy_Discounted_product","450.15"
"1817.60","Heavy_Discounted_product","1560.22"
"2210.66","Heavy_Discounted_product","2089.05"
"2178.88","Low_Discounted_product","2157.67"
"1931.64","Heavy_Discounted_product","1722.22"
"1627.05","Heavy_Discounted_product","1526.34"
"455.22","Heavy_Discounted_product","345.54"
"1821.21","Heavy_Discounted_product","1652.98"
"461.18","Heavy_Discounted_product","317.63"
"2265.25","Heavy_Discounted_product","2114.18"
"994.02","Heavy_Discounted_product","848.15"
