"rest_name","city","total_revenue","revenue_rank"
"Rasoi Ghar 263","Chennai","4130.07","128"
"The Curry Leaf 154","Chennai","4112.64","129"
"Rasoi Ghar 250","Kolkata","4065.79","130"
"Taste of Punjab 248","Mumbai","4061.20","131"
"Delhi Darbar 198","Delhi","4029.99","132"
"Chai & Chat 53","Delhi","3991.22","133"
"Rasoi Ghar 188","Chennai","3982.18","134"
"Curry Kingdom 206","Mumbai","3953.87","135"
"Saffron Delight 290","Mumbai","3921.07","136"
"Mumbai Masala 83","Delhi","3890.40","137"
"Rasoi Ghar 13","Kolkata","3882.11","138"
"Dragon Wok 28","Chennai","3879.29","139"
"Curry Kingdom 261","Mumbai","3820.41","140"
"Golden Spoon 199","Kolkata","3795.31","141"
"Masala Magic 80","Mumbai","3760.65","142"
"Spice Villa 166","Delhi","3753.88","143"
"Flavours of India 51","Delhi","3746.74","144"
"Caf̩ Masaledar 66","Mumbai","3746.02","145"
"Royal Tandoor 225","Kolkata","3702.71","146"
"Biryani House 235","Delhi","3686.64","147"
"Kolkata Kitchen 240","Bangalore","3650.35","148"
"Chai & Chat 173","Delhi","3638.62","149"
"Chai & Chat 182","Mumbai","3607.14","150"
"Flavours of India 61","Delhi","3576.26","151"
"Burger Factory 265","Kolkata","3560.02","152"
"Delhi Darbar 254","Kolkata","3526.72","153"
"Taste of Punjab 280","Mumbai","3497.93","154"
"Burger Factory 134","Bangalore","3494.25","155"
"The Curry Leaf 137","Chennai","3491.64","156"
"Madras Cafe 48","Bangalore","3476.59","157"
"Masala Magic 162","Chennai","3466.00","158"
"Rasoi Ghar 157","Chennai","3459.53","159"
"Taste of Punjab 124","Delhi","3449.34","160"
"Annapurna Bhavan 272","Chennai","3447.26","161"
"Pizza Junction 20","Mumbai","3411.51","162"
"Flavours of India 186","Delhi","3398.63","163"
"Madras Cafe 109","Delhi","3397.43","164"
"Mughal Mahal 229","Kolkata","3393.46","165"
"Delhi Darbar 9","Bangalore","3387.91","166"
"Kolkata Kitchen 70","Kolkata","3384.87","167"
"Bombay Bistro 128","Kolkata","3377.89","168"
"Chai & Chat 19","Delhi","3342.24","169"
"Chai & Chat 26","Chennai","3329.29","170"
"Biryani House 138","Chennai","3294.28","171"
"Bombay Bistro 211","Bangalore","3284.93","172"
"Rasoi Ghar 191","Kolkata","3284.28","173"
"Curry Kingdom 38","Bangalore","3254.68","174"
"Rasoi Ghar 170","Chennai","3238.72","175"
"Curry Kingdom 287","Delhi","3219.81","176"
"Saffron Delight 175","Chennai","3214.93","177"
"Bombay Bistro 97","Chennai","3167.79","178"
"Chai & Chat 17","Bangalore","3156.61","179"
"Caf̩ Masaledar 102","Delhi","3135.88","180"
"Flavours of India 169","Chennai","3132.70","181"
"Pizza Junction 256","Mumbai","3077.58","182"
"Saffron Delight 277","Kolkata","3062.05","183"
"Chai & Chat 294","Bangalore","3020.34","184"
"Punjabi Dhaba 190","Kolkata","2962.98","185"
"Curry Kingdom 187","Chennai","2892.83","186"
"Kolkata Kitchen 204","Kolkata","2883.38","187"
"Madras Cafe 257","Chennai","2874.00","188"
"Royal Tandoor 289","Bangalore","2857.70","189"
"The Curry Leaf 27","Kolkata","2846.15","190"
"Annapurna Bhavan 32","Kolkata","2814.75","191"
"Punjabi Dhaba 222","Kolkata","2798.23","192"
"Spice Villa 121","Kolkata","2757.35","193"
"Pizza Junction 33","Delhi","2755.36","194"
"The Hungry Panda 132","Chennai","2712.52","195"
"South Spice 185","Bangalore","2695.82","196"
"Biryani House 260","Mumbai","2637.30","197"
"Golden Spoon 270","Mumbai","2633.55","198"
"Pizza Junction 98","Delhi","2588.98","199"
"Saffron Delight 101","Delhi","2558.36","200"
"Delhi Darbar 18","Bangalore","2543.11","201"
"Dragon Wok 180","Chennai","2531.56","202"
"Urban Tadka 183","Kolkata","2517.46","203"
"Caf̩ Masaledar 111","Chennai","2506.03","204"
"Mughal Mahal 59","Delhi","2434.58","205"
"Curry Kingdom 58","Chennai","2434.00","206"
"Pizza Junction 264","Mumbai","2424.52","207"
"Tandoori Nights 130","Kolkata","2416.39","208"
"Golden Spoon 275","Chennai","2374.23","209"
"The Hungry Panda 125","Bangalore","2361.01","210"
"Chutney Express 100","Kolkata","2318.46","211"
"Taste of Punjab 266","Delhi","2236.04","212"
"The Curry Leaf 202","Bangalore","2233.16","213"
"Madras Cafe 141","Delhi","2221.07","214"
"The Food Studio 43","Kolkata","2182.36","215"
"Golden Spoon 171","Delhi","2138.26","216"
"Taste of Punjab 160","Chennai","2134.64","217"
"Bombay Bistro 87","Chennai","2129.05","218"
"Flavours of India 163","Chennai","2120.49","219"
"Bombay Bistro 8","Chennai","2117.14","220"
"Taste of Punjab 108","Mumbai","2115.30","221"
"Madras Cafe 14","Delhi","2105.12","222"
"The Hungry Panda 119","Delhi","2079.63","223"
"South Spice 123","Bangalore","2077.05","224"
"Kolkata Kitchen 107","Bangalore","2029.09","225"
"Mughal Mahal 50","Delhi","2013.08","226"
"Masala Magic 281","Bangalore","2012.05","227"
"Pizza Junction 62","Chennai","1982.68","228"
"South Spice 227","Delhi","1919.07","229"
"Golden Spoon 149","Chennai","1899.37","230"
"Delhi Darbar 299","Chennai","1864.71","231"
"Saffron Delight 45","Chennai","1854.71","232"
"Masala Magic 37","Kolkata","1842.53","233"
"Dragon Wok 139","Mumbai","1830.72","234"
"Madras Cafe 6","Kolkata","1827.22","235"
"Taste of Punjab 110","Chennai","1825.52","236"
"Caf̩ Masaledar 105","Mumbai","1820.26","237"
"Pizza Junction 129","Delhi","1771.41","238"
"Annapurna Bhavan 194","Bangalore","1689.42","239"
"Biryani House 64","Chennai","1661.39","240"
"Curry Kingdom 210","Mumbai","1572.84","241"
"Tandoori Nights 247","Bangalore","1546.11","242"
"Punjabi Dhaba 11","Delhi","1506.56","243"
"Dragon Wok 7","Bangalore","1494.43","244"
"Taste of Punjab 231","Chennai","1491.62","245"
"Mumbai Masala 15","Bangalore","1491.48","246"
"Royal Tandoor 72","Kolkata","1489.40","247"
"Chai & Chat 1","Delhi","1433.17","248"
"The Curry Leaf 192","Delhi","1334.08","249"
"Madras Cafe 298","Bangalore","1295.28","250"
"Curry Kingdom 144","Chennai","1287.38","251"
"Golden Spoon 208","Bangalore","1245.43","252"
"Delhi Darbar 39","Mumbai","1233.32","253"
"Chai & Chat 258","Kolkata","1215.24","254"
"Chai & Chat 82","Bangalore","1187.64","255"
"The Hungry Panda 75","Delhi","1137.96","256"
"Kolkata Kitchen 178","Delhi","1137.91","257"
"Rasoi Ghar 22","Delhi","1116.89","258"
"Punjabi Dhaba 23","Bangalore","1091.50","259"
"Burger Factory 197","Bangalore","1080.04","260"
"Mughal Mahal 36","Delhi","1072.45","261"
"The Curry Leaf 29","Mumbai","1037.13","262"
"Bombay Bistro 68","Chennai","994.49","263"
"Mumbai Masala 30","Delhi","990.89","264"
"Taste of Punjab 283","Kolkata","937.88","265"
"Caf̩ Masaledar 165","Chennai","936.52","266"
"The Hungry Panda 5","Kolkata","887.08","267"
"The Curry Leaf 151","Bangalore","876.22","268"
"The Food Studio 153","Kolkata","872.21","269"
"Mughal Mahal 131","Chennai","820.54","270"
"The Curry Leaf 2","Mumbai","681.24","271"
"Mughal Mahal 279","Delhi","662.54","272"
"Biryani House 241","Mumbai","657.54","273"
"Chai & Chat 282","Delhi","590.52","274"
"Flavours of India 216","Mumbai","582.41","275"
"The Food Studio 42","Bangalore","579.90","276"
"Urban Tadka 152","Mumbai","575.60","277"
"Delhi Darbar 113","Chennai","568.12","278"
"Taste of Punjab 217","Chennai","558.00","279"
"Curry Kingdom 10","Bangalore","474.81","280"
"Biryani House 114","Bangalore","452.08","281"
"Tandoori Nights 246","Chennai","450.15","282"
"Urban Tadka 262","Kolkata","353.45","283"
"Madras Cafe 273","Mumbai","337.59","284"
"Biryani House 76","Mumbai","313.04","285"
"Chutney Express 271","Bangalore","309.44","286"
"Curry Kingdom 116","Bangalore","299.43","287"
"Punjabi Dhaba 106","Mumbai","233.75","288"
"Mughal Mahal 245","Bangalore","178.45","289"
"Bombay Bistro 189","Kolkata","172.20","290"
"Dragon Wok 224","Chennai","137.26","291"
"Punjabi Dhaba 57","Chennai","74.42","292"
"Chai & Chat 65","Kolkata","22.25","293"
