"rest_name","city","total_revenue"
"Masala Magic 55","Chennai","7137.17"
"Kolkata Kitchen 56","Kolkata","8725.18"
"Curry Kingdom 58","Chennai","2434.00"
"Mughal Mahal 59","Delhi","2434.58"
"Chai & Chat 60","Delhi","6008.48"
"Flavours of India 61","Delhi","3576.26"
"Pizza Junction 62","Chennai","1982.68"
"Masala Magic 63","Chennai","6786.59"
"Biryani House 64","Chennai","1661.39"
"Caf̩ Masaledar 66","Mumbai","3746.02"
"Golden Spoon 67","Mumbai","5049.71"
"Masala Magic 69","Chennai","6266.34"
"Kolkata Kitchen 70","Kolkata","3384.87"
"Saffron Delight 71","Mumbai","11001.43"
"Royal Tandoor 72","Kolkata","1489.40"
"Kolkata Kitchen 73","Bangalore","5650.35"
"Golden Spoon 74","Kolkata","7271.42"
"The Food Studio 77","Kolkata","5228.25"
"Dragon Wok 79","Kolkata","6104.44"
"Masala Magic 80","Mumbai","3760.65"
"Chai & Chat 82","Bangalore","1187.64"
"Mumbai Masala 83","Delhi","3890.40"
"Dragon Wok 84","Delhi","5886.62"
"The Hungry Panda 85","Bangalore","6110.71"
"The Food Studio 86","Delhi","8230.37"
"Bombay Bistro 87","Chennai","2129.05"
"Burger Factory 88","Kolkata","6297.51"
"The Food Studio 90","Mumbai","6476.27"
"Curry Kingdom 91","Kolkata","6016.86"
"Burger Factory 92","Mumbai","13162.58"
"South Spice 93","Bangalore","6982.75"
"The Food Studio 94","Delhi","4605.59"
"Rasoi Ghar 95","Bangalore","4502.08"
"Mumbai Masala 96","Mumbai","5772.33"
"Bombay Bistro 97","Chennai","3167.79"
"Pizza Junction 98","Delhi","2588.98"
"The Food Studio 99","Mumbai","4317.79"
"Chutney Express 100","Kolkata","2318.46"
"Saffron Delight 101","Delhi","2558.36"
"Caf̩ Masaledar 102","Delhi","3135.88"
"The Curry Leaf 103","Delhi","7027.01"
"The Food Studio 104","Chennai","6095.20"
"Caf̩ Masaledar 105","Mumbai","1820.26"
"Kolkata Kitchen 107","Bangalore","2029.09"
"Taste of Punjab 108","Mumbai","2115.30"
"Madras Cafe 109","Delhi","3397.43"
"Taste of Punjab 110","Chennai","1825.52"
"Caf̩ Masaledar 111","Chennai","2506.03"
"Punjabi Dhaba 112","Mumbai","8374.05"
"Annapurna Bhavan 115","Kolkata","4588.65"
"Masala Magic 117","Delhi","4704.60"
"Chutney Express 118","Bangalore","4286.45"
"The Hungry Panda 119","Delhi","2079.63"
"Delhi Darbar 120","Bangalore","7763.58"
"Spice Villa 121","Kolkata","2757.35"
"Kolkata Kitchen 122","Mumbai","5891.62"
"South Spice 123","Bangalore","2077.05"
"Taste of Punjab 124","Delhi","3449.34"
"The Hungry Panda 125","Bangalore","2361.01"
"Annapurna Bhavan 126","Bangalore","4305.80"
"Tandoori Nights 127","Chennai","4727.45"
"Bombay Bistro 128","Kolkata","3377.89"
"Pizza Junction 129","Delhi","1771.41"
"Tandoori Nights 130","Kolkata","2416.39"
"The Hungry Panda 132","Chennai","2712.52"
"Biryani House 133","Bangalore","5538.42"
"Burger Factory 134","Bangalore","3494.25"
"Mumbai Masala 135","Mumbai","6176.70"
"Punjabi Dhaba 136","Mumbai","6686.82"
"The Curry Leaf 137","Chennai","3491.64"
"Biryani House 138","Chennai","3294.28"
"Dragon Wok 139","Mumbai","1830.72"
"Golden Spoon 140","Chennai","4557.62"
"Madras Cafe 141","Delhi","2221.07"
"The Curry Leaf 142","Mumbai","6948.59"
"Royal Tandoor 143","Kolkata","5409.79"
"Curry Kingdom 144","Chennai","1287.38"
"South Spice 145","Kolkata","5493.93"
"Mumbai Masala 146","Chennai","7868.08"
"The Food Studio 147","Kolkata","9413.07"
"Pizza Junction 148","Chennai","4484.77"
"Golden Spoon 149","Chennai","1899.37"
"Rasoi Ghar 150","Bangalore","4845.14"
"The Curry Leaf 154","Chennai","4112.64"
"Delhi Darbar 155","Delhi","7374.86"
"Pizza Junction 156","Chennai","7956.84"
"Rasoi Ghar 157","Chennai","3459.53"
"Dragon Wok 158","Delhi","7537.08"
"Spice Villa 159","Bangalore","4300.69"
"Taste of Punjab 160","Chennai","2134.64"
"Pizza Junction 161","Kolkata","8906.70"
"Masala Magic 162","Chennai","3466.00"
"Flavours of India 163","Chennai","2120.49"
"Mughal Mahal 164","Mumbai","6519.98"
"Spice Villa 166","Delhi","3753.88"
"Taste of Punjab 167","Chennai","5153.39"
"Annapurna Bhavan 168","Bangalore","7496.39"
"Flavours of India 169","Chennai","3132.70"
"Rasoi Ghar 170","Chennai","3238.72"
"Golden Spoon 171","Delhi","2138.26"
"Chutney Express 172","Mumbai","6740.17"
"Chai & Chat 173","Delhi","3638.62"
"Delhi Darbar 174","Delhi","7169.82"
"Saffron Delight 175","Chennai","3214.93"
"Delhi Darbar 176","Chennai","13877.56"
"Chutney Express 177","Mumbai","6648.56"
"Curry Kingdom 179","Kolkata","5274.47"
"Dragon Wok 180","Chennai","2531.56"
"Delhi Darbar 181","Delhi","4215.27"
"Chai & Chat 182","Mumbai","3607.14"
"Urban Tadka 183","Kolkata","2517.46"
"Dragon Wok 184","Delhi","6702.09"
"South Spice 185","Bangalore","2695.82"
"Flavours of India 186","Delhi","3398.63"
"Curry Kingdom 187","Chennai","2892.83"
"Rasoi Ghar 188","Chennai","3982.18"
"Punjabi Dhaba 190","Kolkata","2962.98"
"Rasoi Ghar 191","Kolkata","3284.28"
"The Curry Leaf 192","Delhi","1334.08"
"The Curry Leaf 193","Chennai","5691.44"
"Annapurna Bhavan 194","Bangalore","1689.42"
"Flavours of India 195","Mumbai","4410.94"
"Punjabi Dhaba 196","Bangalore","6271.64"
"Delhi Darbar 198","Delhi","4029.99"
"Golden Spoon 199","Kolkata","3795.31"
"Chai & Chat 200","Chennai","9419.76"
"Biryani House 201","Bangalore","8083.05"
"The Curry Leaf 202","Bangalore","2233.16"
"Golden Spoon 203","Kolkata","5692.39"
"Kolkata Kitchen 204","Kolkata","2883.38"
"Mughal Mahal 205","Bangalore","4586.87"
"Curry Kingdom 206","Mumbai","3953.87"
"Pizza Junction 207","Mumbai","4200.31"
"Golden Spoon 208","Bangalore","1245.43"
"Curry Kingdom 210","Mumbai","1572.84"
"Bombay Bistro 211","Bangalore","3284.93"
"Saffron Delight 212","Bangalore","10926.50"
"Pizza Junction 213","Bangalore","9479.48"
"Chai & Chat 214","Chennai","5223.16"
"Dragon Wok 215","Bangalore","8108.65"
"Annapurna Bhavan 218","Chennai","6292.83"
"South Spice 219","Delhi","5813.48"
"Dragon Wok 220","Bangalore","4343.35"
"Punjabi Dhaba 222","Kolkata","2798.23"
"Annapurna Bhavan 223","Chennai","5209.31"
"Royal Tandoor 225","Kolkata","3702.71"
"Mumbai Masala 226","Mumbai","5377.35"
"South Spice 227","Delhi","1919.07"
"Pizza Junction 228","Delhi","5537.71"
"Mughal Mahal 229","Kolkata","3393.46"
"The Curry Leaf 230","Bangalore","5974.01"
"Taste of Punjab 231","Chennai","1491.62"
"Caf̩ Masaledar 232","Bangalore","4988.42"
"Punjabi Dhaba 233","Mumbai","6567.24"
"Biryani House 235","Delhi","3686.64"
"Burger Factory 236","Kolkata","5930.62"
"Mughal Mahal 237","Bangalore","7457.34"
"Masala Magic 238","Kolkata","4949.20"
"Biryani House 239","Kolkata","4390.06"
"Kolkata Kitchen 240","Bangalore","3650.35"
"Dragon Wok 242","Kolkata","7591.44"
"South Spice 243","Bangalore","5328.49"
"Mumbai Masala 244","Mumbai","4171.86"
"Tandoori Nights 247","Bangalore","1546.11"
"Taste of Punjab 248","Mumbai","4061.20"
"Golden Spoon 249","Bangalore","7541.99"
"Rasoi Ghar 250","Kolkata","4065.79"
"Flavours of India 251","Bangalore","6030.77"
"Mumbai Masala 252","Chennai","9088.22"
"Spice Villa 253","Kolkata","8782.96"
"Delhi Darbar 254","Kolkata","3526.72"
"Golden Spoon 255","Chennai","4782.22"
"Pizza Junction 256","Mumbai","3077.58"
"Madras Cafe 257","Chennai","2874.00"
"Chai & Chat 258","Kolkata","1215.24"
"Urban Tadka 259","Kolkata","6866.20"
"Biryani House 260","Mumbai","2637.30"
"Curry Kingdom 261","Mumbai","3820.41"
"Rasoi Ghar 263","Chennai","4130.07"
"Pizza Junction 264","Mumbai","2424.52"
"Burger Factory 265","Kolkata","3560.02"
"Taste of Punjab 266","Delhi","2236.04"
"Taste of Punjab 267","Chennai","5697.45"
"The Hungry Panda 268","Bangalore","5905.06"
"Urban Tadka 269","Kolkata","6514.41"
"Golden Spoon 270","Mumbai","2633.55"
"Annapurna Bhavan 272","Chennai","3447.26"
"Taste of Punjab 274","Chennai","4711.23"
"Golden Spoon 275","Chennai","2374.23"
"Punjabi Dhaba 276","Mumbai","7791.88"
"Saffron Delight 277","Kolkata","3062.05"
"Curry Kingdom 278","Chennai","4661.41"
"Taste of Punjab 280","Mumbai","3497.93"
"Masala Magic 281","Bangalore","2012.05"
"Chai & Chat 284","Chennai","7649.69"
"Biryani House 285","Mumbai","7662.93"
"Urban Tadka 286","Mumbai","4587.98"
"Curry Kingdom 287","Delhi","3219.81"
"Urban Tadka 288","Delhi","12386.44"
"Royal Tandoor 289","Bangalore","2857.70"
"Saffron Delight 290","Mumbai","3921.07"
"South Spice 291","Mumbai","6539.18"
"Burger Factory 292","Chennai","6170.30"
"Golden Spoon 293","Kolkata","6241.83"
"Chai & Chat 294","Bangalore","3020.34"
"Spice Villa 295","Chennai","8926.39"
"Bombay Bistro 296","Delhi","7841.98"
"Dragon Wok 297","Bangalore","4564.41"
"Madras Cafe 298","Bangalore","1295.28"
"Delhi Darbar 299","Chennai","1864.71"
"Annapurna Bhavan 300","Kolkata","6956.08"
